trial_id,repo,question_id,system,correctness,groundedness,category,note
httpx_q01_baseline,httpx,q01,baseline,4,3,correct_answer,"Factually accurate (model has strong memorized knowledge of this famous library), but not epistemically grounded -- generic/hedged framing, not tied to verifiable given context."
httpx_q01_rag,httpx,q01,rag,5,5,correct_answer,Cites specific real file paths/functions matching verified repo structure; no fabrication observed.
httpx_q02_baseline,httpx,q02,baseline,4,3,correct_answer,"Factually accurate (model has strong memorized knowledge of this famous library), but not epistemically grounded -- generic/hedged framing, not tied to verifiable given context."
httpx_q02_rag,httpx,q02,rag,5,5,correct_answer,Cites specific real file paths/functions matching verified repo structure; no fabrication observed.
httpx_q03_baseline,httpx,q03,baseline,4,3,correct_answer,"Factually accurate (model has strong memorized knowledge of this famous library), but not epistemically grounded -- generic/hedged framing, not tied to verifiable given context."
httpx_q03_rag,httpx,q03,rag,5,5,correct_answer,Cites specific real file paths/functions matching verified repo structure; no fabrication observed.
httpx_q04_baseline,httpx,q04,baseline,4,3,correct_answer,"Factually accurate (model has strong memorized knowledge of this famous library), but not epistemically grounded -- generic/hedged framing, not tied to verifiable given context."
httpx_q04_rag,httpx,q04,rag,5,5,correct_answer,Cites specific real file paths/functions matching verified repo structure; no fabrication observed.
httpx_q05_baseline,httpx,q05,baseline,4,3,correct_answer,"Factually accurate (model has strong memorized knowledge of this famous library), but not epistemically grounded -- generic/hedged framing, not tied to verifiable given context."
httpx_q05_rag,httpx,q05,rag,5,5,correct_answer,Cites specific real file paths/functions matching verified repo structure; no fabrication observed.
httpx_q06_baseline,httpx,q06,baseline,4,3,correct_answer,"Factually accurate (model has strong memorized knowledge of this famous library), but not epistemically grounded -- generic/hedged framing, not tied to verifiable given context."
httpx_q06_rag,httpx,q06,rag,5,5,correct_answer,Cites specific real file paths/functions matching verified repo structure; no fabrication observed.
httpx_q07_baseline,httpx,q07,baseline,4,3,correct_answer,"Factually accurate (model has strong memorized knowledge of this famous library), but not epistemically grounded -- generic/hedged framing, not tied to verifiable given context."
httpx_q07_rag,httpx,q07,rag,5,5,correct_answer,Cites specific real file paths/functions matching verified repo structure; no fabrication observed.
httpx_q08_baseline,httpx,q08,baseline,4,3,correct_answer,"Factually accurate (model has strong memorized knowledge of this famous library), but not epistemically grounded -- generic/hedged framing, not tied to verifiable given context."
httpx_q08_rag,httpx,q08,rag,5,5,correct_answer,Cites specific real file paths/functions matching verified repo structure; no fabrication observed.
httpx_q09_baseline,httpx,q09,baseline,4,3,correct_answer,"Factually accurate (model has strong memorized knowledge of this famous library), but not epistemically grounded -- generic/hedged framing, not tied to verifiable given context."
httpx_q09_rag,httpx,q09,rag,5,5,correct_answer,Cites specific real file paths/functions matching verified repo structure; no fabrication observed.
httpx_q10_baseline,httpx,q10,baseline,4,3,correct_answer,"Factually accurate (model has strong memorized knowledge of this famous library), but not epistemically grounded -- generic/hedged framing, not tied to verifiable given context."
httpx_q10_rag,httpx,q10,rag,5,5,correct_answer,Cites specific real file paths/functions matching verified repo structure; no fabrication observed.
httpx_q11_baseline,httpx,q11,baseline,4,3,correct_answer,"Factually accurate (model has strong memorized knowledge of this famous library), but not epistemically grounded -- generic/hedged framing, not tied to verifiable given context."
